url_path,views_total,views_unique
/abhinav12k/Drunkyard,15,8
/abhinav12k/Drunkyard/tree/master/app/src/main/java/com/abhinav12k/drunkyard,10,3
/abhinav12k/Drunkyard/tree/master/app/src/main/java/com/abhinav12k/drunkyard/data,9,3
/abhinav12k/Drunkyard/tree/master/app/src/main/java/com/abhinav12k/drunkyard/data/remote,9,2
/abhinav12k/Drunkyard/tree/github-repo-stats/abhinav12k/Drunkyard,8,1
/abhinav12k/Drunkyard/tree/master/app/src/main,7,3
/abhinav12k/Drunkyard/tree/master/app/src/main/java/com/abhinav12k/drunkyard/data/remote/dto,7,1
/abhinav12k/Drunkyard/tree/master/app,6,3
/abhinav12k/Drunkyard/tree/master/app/src,6,3
/abhinav12k/Drunkyard/blob/master/app/src/androidTest/java/com/abhinav12k/drunkyard/ExampleInstrumentedTest.kt,6,2
