time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-24 00:00:00+00:00,2,2,1.0,1.0
2023-03-25 00:00:00+00:00,1,1,12.0,4.0
2023-03-26 00:00:00+00:00,1,1,2.0,2.0
2023-03-27 00:00:00+00:00,4,4,11.0,3.0
2023-03-28 00:00:00+00:00,1,1,3.0,3.0
2023-03-29 00:00:00+00:00,1,1,16.0,3.0
2023-03-30 00:00:00+00:00,3,3,37.0,2.0
2023-03-31 00:00:00+00:00,1,1,122.0,1.0
2023-04-01 00:00:00+00:00,1,1,15.0,2.0
2023-04-02 00:00:00+00:00,1,1,,
2023-04-03 00:00:00+00:00,1,1,75.0,1.0
2023-04-04 00:00:00+00:00,1,1,57.0,4.0
2023-04-05 00:00:00+00:00,1,1,1.0,1.0
