time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-14 00:00:00+00:00,4,2,,
2023-10-15 00:00:00+00:00,1,1,,
2023-10-16 00:00:00+00:00,2,2,,
2023-10-17 00:00:00+00:00,1,1,,
2023-10-18 00:00:00+00:00,1,1,,
2023-10-19 00:00:00+00:00,2,2,24.0,1.0
2023-10-20 00:00:00+00:00,1,1,5.0,1.0
2023-10-21 00:00:00+00:00,1,1,,
2023-10-22 00:00:00+00:00,5,2,,
2023-10-23 00:00:00+00:00,5,3,,
2023-10-24 00:00:00+00:00,2,2,,
2023-10-25 00:00:00+00:00,2,2,42.0,1.0
2023-10-26 00:00:00+00:00,1,1,23.0,1.0
