url_path,views_total,views_unique
/abhinav12k/Drunkyard,33,11
/abhinav12k/Drunkyard/tree/master/app/src/main/java/com/abhinav12k/drunkyard,11,2
/abhinav12k/Drunkyard/tree/master/app,6,2
/abhinav12k/Drunkyard/tree/master/app/src,6,2
/abhinav12k/Drunkyard/tree/master/app/src/main,6,2
/abhinav12k/Drunkyard/tree/master/app/src/main/java/com/abhinav12k/drunkyard/presentation,6,1
/abhinav12k/Drunkyard/tree/master/.github/workflows,5,2
/abhinav12k/Drunkyard/actions,4,1
/abhinav12k/Drunkyard/blob/master/app/src/main/java/com/abhinav12k/drunkyard/di/AppModule.kt,4,1
/abhinav12k/Drunkyard/blob/master/app/src/main/java/com/abhinav12k/drunkyard/Drunkyard.kt,3,2
