url_path,views_total,views_unique
/abhinav12k/Drunkyard/tree/master/app,47,5
/abhinav12k/Drunkyard/tree/master/app/src/main/java/com/abhinav12k/drunkyard,31,4
/abhinav12k/Drunkyard/tree/master,29,7
/abhinav12k/Drunkyard/tree/master/app/src/main,22,5
/abhinav12k/Drunkyard/tree/master/app/src,19,5
/abhinav12k/Drunkyard/blob/master/app/build.gradle,18,4
/abhinav12k/Drunkyard/tree/master/app/src/main/java/com/abhinav12k/drunkyard/data,13,3
/abhinav12k/Drunkyard/blob/master/app/src/main/java/com/abhinav12k/drunkyard/data/remote/dto/Drink.kt,12,1
/abhinav12k/Drunkyard/blob/master/app/src/main/java/com/abhinav12k/drunkyard/data/remote/dto/DrinksDto.kt,12,1
/abhinav12k/Drunkyard/blob/master/app/src/main/java/com/abhinav12k/drunkyard/di/AppModule.kt,10,2
