url_path,views_total,views_unique
/abhinav12k/Drunkyard,38,10
/abhinav12k/Drunkyard/actions,12,1
/abhinav12k/Drunkyard/blob/master/.github/workflows/clone_stats.yml,10,2
/abhinav12k/Drunkyard/tree/master/.github/workflows,8,2
/abhinav12k/Drunkyard/actions/runs/4400354529,8,1
/abhinav12k/Drunkyard/actions/workflows/clone_stats.yml,8,1
/abhinav12k/Drunkyard/issues,7,2
/abhinav12k/Drunkyard/actions/runs/4407034610,4,1
/abhinav12k/Drunkyard/edit/master/.github/workflows/clone_stats.yml,4,1
/abhinav12k/Drunkyard/edit/master/README.md,4,1
