url_path,views_total,views_unique
/abhinav12k/Drunkyard,8,3
/abhinav12k/Drunkyard/tree/github-repo-stats/abhinav12k/Drunkyard,5,1
/abhinav12k/Drunkyard/tree/master/app,4,1
/abhinav12k/Drunkyard/blob/master/gradlew,3,1
/abhinav12k/Drunkyard/tree/github-repo-stats,3,1
/abhinav12k/Drunkyard/tree/master/app/src,3,1
/abhinav12k/Drunkyard/blob/master/gradlew.bat,2,1
/abhinav12k/Drunkyard/tree/master/.github/workflows,2,1
/abhinav12k/Drunkyard/tree/master/preview,2,1
/abhinav12k/Drunkyard/blob/github-repo-stats/abhinav12k/Drunkyard/ghrs-data/views_clones_aggregate.csv,1,1
