url_path,views_total,views_unique
/abhinav12k/Drunkyard,11,7
/abhinav12k/Drunkyard/tree/master/app,7,4
/abhinav12k/Drunkyard/tree/master/app/src,6,4
/abhinav12k/Drunkyard/tree/github-repo-stats/abhinav12k/Drunkyard,5,1
/abhinav12k/Drunkyard/tree/master/app/src/main,4,4
/abhinav12k/Drunkyard/tree/master/app/src/main/java/com/abhinav12k/drunkyard,4,3
/abhinav12k/Drunkyard/blob/master/gradlew,3,1
/abhinav12k/Drunkyard/tree/github-repo-stats,3,1
/abhinav12k/Drunkyard/tree/master/app/src/main/java/com/abhinav12k/drunkyard/data,2,2
/abhinav12k/Drunkyard/tree/master/app/src/main/java/com/abhinav12k/drunkyard/presentation,2,2
