time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-28 00:00:00+00:00,4,3,1.0,1.0
2024-05-29 00:00:00+00:00,1,1,1.0,1.0
2024-05-30 00:00:00+00:00,5,2,,
2024-05-31 00:00:00+00:00,1,1,,
2024-06-01 00:00:00+00:00,1,1,,
2024-06-02 00:00:00+00:00,5,2,,
2024-06-03 00:00:00+00:00,8,5,179.0,2.0
2024-06-04 00:00:00+00:00,1,1,7.0,2.0
2024-06-05 00:00:00+00:00,1,1,6.0,2.0
2024-06-06 00:00:00+00:00,3,2,92.0,1.0
2024-06-07 00:00:00+00:00,7,3,,
2024-06-08 00:00:00+00:00,8,4,18.0,2.0
2024-06-09 00:00:00+00:00,3,2,252.0,5.0
2024-06-10 00:00:00+00:00,4,3,24.0,2.0
