url_path,views_total,views_unique
/abhinav12k/Drunkyard,35,6
/abhinav12k/Drunkyard/actions,12,1
/abhinav12k/Drunkyard/blob/master/.github/workflows/clone_stats.yml,10,2
/abhinav12k/Drunkyard/tree/master/.github/workflows,9,2
/abhinav12k/Drunkyard/actions/runs/4400354529,8,1
/abhinav12k/Drunkyard/actions/workflows/clone_stats.yml,8,1
/abhinav12k/Drunkyard/issues,6,2
/abhinav12k/Drunkyard/edit/master/README.md,6,1
/abhinav12k/Drunkyard/actions/new,4,1
/abhinav12k/Drunkyard/actions/runs/4407034610,4,1
