url_path,views_total,views_unique
/abhinav12k/Drunkyard,18,13
/abhinav12k/Drunkyard/tree/master/app,12,6
/abhinav12k/Drunkyard/tree/master/app/src/main/java/com/abhinav12k/drunkyard,12,5
/abhinav12k/Drunkyard/tree/master/app/src,10,6
/abhinav12k/Drunkyard/tree/master/app/src/main,8,6
/abhinav12k/Drunkyard/tree/master/app/src/main/java/com/abhinav12k/drunkyard/data,6,3
/abhinav12k/Drunkyard/blob/master/app/src/main/java/com/abhinav12k/drunkyard/data/repository/DrinkRepositoryImpl.kt,5,1
/abhinav12k/Drunkyard/tree/github-repo-stats/abhinav12k/Drunkyard,5,1
/abhinav12k/Drunkyard/tree/master/app/src/main/java/com/abhinav12k/drunkyard/presentation,4,3
/abhinav12k/Drunkyard/tree/master/app/src/main/java/com/abhinav12k/drunkyard/data/local,4,1
