url_path,views_total,views_unique
/abhinav12k/Drunkyard/tree/master/app,49,5
/abhinav12k/Drunkyard/tree/master/app/src/main/java/com/abhinav12k/drunkyard,31,4
/abhinav12k/Drunkyard/tree/master,30,8
/abhinav12k/Drunkyard/tree/master/app/src/main,24,5
/abhinav12k/Drunkyard/tree/master/app/src,21,5
/abhinav12k/Drunkyard/blob/master/app/build.gradle,18,4
/abhinav12k/Drunkyard/tree/master/app/src/main/java/com/abhinav12k/drunkyard/data,13,3
/abhinav12k/Drunkyard/blob/master/app/src/main/java/com/abhinav12k/drunkyard/data/remote/dto/Drink.kt,12,1
/abhinav12k/Drunkyard/blob/master/app/src/main/java/com/abhinav12k/drunkyard/data/remote/dto/DrinksDto.kt,12,1
/abhinav12k/Drunkyard/blob/master/app/src/main/java/com/abhinav12k/drunkyard/di/AppModule.kt,10,2
